Title,URL,Description,Stars,Last Updated
AIwithhassan/safespace-ai-therapist,https://github.com/AIwithhassan/safespace-ai-therapist,"Introducing SafeSpace — an AI Mental Health Therapist powered by agents, specialist models & real-world tools. In this tutorial, I walk t…",7,"on Aug 1, 2025"
SparkFan626/gsoc2025-ai4mh,https://github.com/SparkFan626/gsoc2025-ai4mh,AI-powered behavioral analysis for mental health crisis detection (GSoC 2025 @ HumanAI),4,"on Sep 28, 2025"
kiritocode1/Memories,https://github.com/kiritocode1/Memories,An Ai based experimental mental health expert to talk to,1,"on Oct 7, 2023"
AllenYolk/depression-detection,https://github.com/AllenYolk/depression-detection,The final coursework for AI in Mental Health @ PKU.,19,"on Jan 5, 2024"
ishpreet404/Zenify,https://github.com/ishpreet404/Zenify,"Zenify is an AI mental health chatbot using RAG and MCP for personalized support with journaling, mood tracking, and crisis alerts. Runs …",11,25 days ago
raushankumar620/AI-Mental-Health-Analyzer-,https://github.com/raushankumar620/AI-Mental-Health-Analyzer-,,10,"on Aug 5, 2025"
Mahatir-Ahmed-Tusher/Kothakunjo-BengaliChatbot,https://github.com/Mahatir-Ahmed-Tusher/Kothakunjo-BengaliChatbot,"Kothakunjo: A Bengali AI chatbot for conversations on literature, mental health, tech, and more. Built with modern web tech, blending AI …",6,"on Jun 17, 2025"
Amlan-Deep/Mental-Health-Chatbot,https://github.com/Amlan-Deep/Mental-Health-Chatbot,LLama2HealthCareChatBot is a conversational AI chatbot designed to assist mental healthcare queries and help in providing mental health i…,3,"on Aug 22, 2023"
AmalAntoney123/Emo-Mental_Health_Assistant,https://github.com/AmalAntoney123/Emo-Mental_Health_Assistant,"Comprehensive mental health app that leverages gamification techniques such as streaks and rewards, machine learning (ML), and artificial…",16,"on Jul 14, 2024"
shanika200721/mental-health-predictor,https://github.com/shanika200721/mental-health-predictor,"A showcase of modern web development technologies featuring frontend, backend, AI/ML, and version control tools. Includes interactive ico…",3,"on Jul 19, 2025"
